
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005810                       # Number of seconds simulated (Second)
simTicks                                   5809915500                       # Number of ticks simulated (Tick)
finalTick                                  5809915500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     28.07                       # Real time elapsed on the host (Second)
hostTickRate                                206948812                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     747456                       # Number of bytes of host memory used (Byte)
simInsts                                      8560509                       # Number of instructions simulated (Count)
simOps                                       15647543                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   304924                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     557363                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         11619832                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.357376                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.736715                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        24202455                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   197449                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       22036034                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1840                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              8752355                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          14553889                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 550                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            11458488                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.923119                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.493839                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   5148104     44.93%     44.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1579931     13.79%     58.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1334262     11.64%     70.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    753236      6.57%     76.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    604988      5.28%     82.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    858647      7.49%     89.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    386451      3.37%     93.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    356578      3.11%     96.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    154429      1.35%     97.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                    159395      1.39%     98.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                    68180      0.60%     99.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                    24555      0.21%     99.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                    15784      0.14%     99.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                     7942      0.07%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                     4954      0.04%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                      867      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                      133      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                       39      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                       13      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                18                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              11458488                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                      61      0.31%      0.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                   19472     99.39%     99.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     99.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     99.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     99.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     99.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     99.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     99.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%     99.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     99.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     99.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     99.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     99.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     99.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     99.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     99.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     99.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     99.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     99.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     99.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     99.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     99.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     99.70% # attempts to use FU when none available (Count)
