
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005837                       # Number of seconds simulated (Second)
simTicks                                   5836576000                       # Number of ticks simulated (Tick)
finalTick                                  5836576000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     34.73                       # Real time elapsed on the host (Second)
hostTickRate                                168073423                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     758396                       # Number of bytes of host memory used (Byte)
simInsts                                      8560469                       # Number of instructions simulated (Count)
simOps                                       15647469                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   246512                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     450593                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         11673153                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.363611                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.733347                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        26263005                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   199506                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       23192923                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   8013                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             10815028                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          19403453                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2607                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            11530310                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.011474                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.660304                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   5229293     45.35%     45.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1557598     13.51%     58.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1311685     11.38%     70.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    645680      5.60%     75.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    544891      4.73%     80.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    844443      7.32%     87.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    428981      3.72%     91.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    389126      3.37%     94.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    207796      1.80%     96.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                    186262      1.62%     98.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                    96783      0.84%     99.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                    41387      0.36%     99.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                    21953      0.19%     99.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                     9178      0.08%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                     5881      0.05%     99.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                     4341      0.04%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                     3304      0.03%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                     1082      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                      176      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                      470      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
