
---------- Begin Simulation Statistics ----------
simSeconds                                   0.006271                       # Number of seconds simulated (Second)
simTicks                                   6271227500                       # Number of ticks simulated (Tick)
finalTick                                  6271227500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     24.98                       # Real time elapsed on the host (Second)
hostTickRate                                251074615                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     746752                       # Number of bytes of host memory used (Byte)
simInsts                                      8560501                       # Number of instructions simulated (Count)
simOps                                       15647524                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   342727                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     626462                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         12542456                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.465154                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.682522                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        20525689                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   197221                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       19576388                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                      2                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              5075380                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           7531223                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 322                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            12381901                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.581049                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.917513                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   5023388     40.57%     40.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2612909     21.10%     61.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1799602     14.53%     76.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    892563      7.21%     83.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    682845      5.51%     88.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    736831      5.95%     94.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    303448      2.45%     97.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    234740      1.90%     99.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     61384      0.50%     99.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                     27011      0.22%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                     6285      0.05%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                      612      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                      257      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                       18      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                        8      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
