
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005820                       # Number of seconds simulated (Second)
simTicks                                   5819618500                       # Number of ticks simulated (Tick)
finalTick                                  5819618500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     26.74                       # Real time elapsed on the host (Second)
hostTickRate                                217613689                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     750336                       # Number of bytes of host memory used (Byte)
simInsts                                      8560538                       # Number of instructions simulated (Count)
simOps                                       15647606                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   320104                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     585111                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         11639238                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.359639                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.735490                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        22842976                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   197686                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       21192439                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    234                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              7393050                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          11774210                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 787                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            11483156                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.845524                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.378564                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   5028812     43.79%     43.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1648256     14.35%     58.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1629327     14.19%     72.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    800193      6.97%     79.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    537455      4.68%     83.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    797106      6.94%     90.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    350445      3.05%     93.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    316100      2.75%     96.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    137046      1.19%     97.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                    134650      1.17%     99.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                    57645      0.50%     99.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                    24971      0.22%     99.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                    10526      0.09%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                     4794      0.04%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                     4237      0.04%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                      168      0.00%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                      858      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                       18      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                       56      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                      493      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                19                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              11483156                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                      15     18.29%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp            0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                      0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAesMix                   0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash                 0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash2                0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash               0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash2              0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma2                0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma3                0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdPredAlu                  0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::Matrix                       0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MatrixMov                    0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MatrixOP                     0      0.00%     18.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemRead                     28     34.15%     52.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemWrite                    20     24.39%     76.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemRead                11     13.41%     90.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemWrite                8      9.76%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IprAccess                    0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideMaskLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideMaskStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdStridedLoad              0      0.00%    100.00% # attempts to use FU when none available (Count)
