
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005839                       # Number of seconds simulated (Second)
simTicks                                   5839441500                       # Number of ticks simulated (Tick)
finalTick                                  5839441500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     26.91                       # Real time elapsed on the host (Second)
hostTickRate                                216963272                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     749180                       # Number of bytes of host memory used (Byte)
simInsts                                      8560528                       # Number of instructions simulated (Count)
simOps                                       15647588                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   318064                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     581381                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         11678884                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.364271                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.732992                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        22842030                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   197688                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       21191803                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    234                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              7392124                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          11772604                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 789                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            11523741                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.838969                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.370774                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   5037290     43.71%     43.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1652865     14.34%     58.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1646922     14.29%     72.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    827707      7.18%     79.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    560891      4.87%     84.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    783392      6.80%     91.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    316818      2.75%     93.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    322298      2.80%     96.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    142449      1.24%     97.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                    120781      1.05%     99.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                    63063      0.55%     99.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                    25550      0.22%     99.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                    12518      0.11%     99.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::13                     5366      0.05%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::14                     4253      0.04%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::15                      169      0.00%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::16                      858      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::17                       19      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::18                       56      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::19                      476      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
